param_C,param_penalty,param_solver,param_class_weight,mean_test_score,std_test_score,rank_test_score
1.0,l2,liblinear,balanced,0.43305557574533954,0.03741835200518321,1
1.0,l1,liblinear,balanced,0.42877781571289475,0.04393598484430084,2
100.0,l1,liblinear,balanced,0.42234012234012236,0.03899934927478875,3
100.0,l2,liblinear,balanced,0.42234012234012236,0.03899934927478875,3
0.1,l2,liblinear,balanced,0.4202211303711653,0.03578799058168009,5
10.0,l1,liblinear,balanced,0.4198289374667327,0.0406298297085474,6
10.0,l2,liblinear,balanced,0.41973336487671353,0.038426993016195815,7
0.1,l1,liblinear,balanced,0.4160554436266784,0.029378797311617258,8
0.01,l2,liblinear,balanced,0.37756909756909757,0.030160975325104377,9
0.001,l2,liblinear,balanced,0.34055369297348914,0.030433682532139496,10
0.01,l1,liblinear,balanced,0.320604443014801,0.02219825535151598,11
0.001,l1,liblinear,balanced,0.0,0.0,12
